trade_date,ticker,open_price,high_price,low_price,adj_close_price,volume,trade_amount,high_52w,low_52w
2024-07-08,META,542.3499755859375,542.8099975585938,526.6500244140625,526.7284545898438,14917500,7857471721.343994,537.2664794921875,281.28509521484375
2024-07-09,META,533.75,537.47998046875,528.1900024414062,527.4049682617188,8753200,4616481168.188477,537.2664794921875,281.28509521484375
2024-07-10,META,530.7899780273438,538.8800048828125,528.3599853515625,532.0720825195312,10983300,5843907303.936768,537.2664794921875,281.28509521484375
2024-07-11,META,530.8900146484375,535.4600219726562,508.3699951171875,510.18975830078125,16458300,8396856099.041748,537.2664794921875,281.28509521484375
2024-07-12,META,497.760009765625,508.0899963378906,494.2300109863281,496.4274597167969,19750500,9804690543.136597,537.2664794921875,281.28509521484375
2024-07-15,META,498.6300048828125,506.67999267578125,493.3699951171875,493.7307434082031,12539200,6190988537.744141,537.2664794921875,281.28509521484375
2024-07-16,META,501.5,503.95001220703125,485.7900085449219,487.3919372558594,14075800,6860431430.426025,537.2664794921875,281.28509521484375
2024-07-17,META,479.1700134277344,479.1700134277344,459.1199951171875,459.72802734375,28076600,12907599932.519531,537.2664794921875,281.28509521484375
2024-07-18,META,475.0,479.239990234375,464.5400085449219,473.5201416015625,19267200,9123407272.265625,537.2664794921875,281.28509521484375
2024-07-19,META,476.05999755859375,486.7099914550781,475.7099914550781,474.45556640625,15149400,7187717157.714844,537.2664794921875,281.28509521484375
2024-07-22,META,486.5799865722656,492.05999755859375,483.8999938964844,485.01361083984375,12023100,5831367144.488525,537.2664794921875,281.28509521484375
2024-07-23,META,489.8399963378906,495.2200012207031,487.7200012207031,486.29730224609375,9455500,4598184141.387939,537.2664794921875,281.28509521484375
2024-07-24,META,472.30999755859375,476.29998779296875,460.5799865722656,459.0115051269531,17649700,8101415362.039185,537.2664794921875,281.28509521484375
2024-07-25,META,463.260009765625,463.54998779296875,442.6499938964844,451.1900329589844,18240500,8229931796.1883545,537.2664794921875,281.28509521484375
2024-07-26,META,464.20001220703125,469.7699890136719,459.4200134277344,463.41986083984375,14222400,6590942628.808594,537.2664794921875,281.28509521484375
2024-07-29,META,469.8800048828125,473.9599914550781,465.0199890136719,463.4297790527344,11339600,5255108322.546387,537.2664794921875,281.28509521484375
2024-07-30,META,467.0,472.7300109863281,456.70001220703125,460.9221496582031,11390400,5250087653.466797,537.2664794921875,281.28509521484375
2024-07-31,META,471.0199890136719,476.5,466.75,472.505126953125,24285800,11475165012.158203,537.2664794921875,281.28509521484375
2024-08-01,META,521.0,527.1699829101562,492.1000061035156,495.302978515625,43083100,21339187753.686523,537.2664794921875,281.28509521484375
2024-08-02,META,489.0,501.1499938964844,476.1499938964844,485.75,24044700,11679713025.0,537.2664794921875,281.28509521484375
2024-08-05,META,451.3500061035156,483.4800109863281,450.79998779296875,473.4007568359375,21396200,10128977273.413086,537.2664794921875,281.28509521484375
2024-08-06,META,479.0,502.55999755859375,478.6499938964844,491.67083740234375,20955000,10302962397.766113,537.2664794921875,281.28509521484375
2024-08-07,META,503.1300048828125,510.1499938964844,486.8599853515625,486.5261535644531,20105300,9781754275.2594,537.2664794921875,281.28509521484375
2024-08-08,META,497.5,509.9599914550781,494.7200012207031,507.134765625,16156800,8193674981.25,537.2664794921875,281.28509521484375
2024-08-09,META,507.7099914550781,518.3400268554688,505.70001220703125,515.2349853515625,13696600,7056967500.366211,537.2664794921875,281.28509521484375
2024-08-12,META,516.8599853515625,518.02001953125,509.1000061035156,513.423828125,9767400,5014815898.828125,537.2664794921875,281.28509521484375
2024-08-13,META,520.010009765625,531.5,518.1500244140625,525.9521484375,13743800,7228581137.6953125,537.2664794921875,281.28509521484375
2024-08-14,META,528.0599975585938,534.0,523.1300048828125,524.180908203125,11444200,5998831149.658203,537.2664794921875,281.28509521484375
2024-08-15,META,531.7899780273438,539.77001953125,526.7000122070312,534.6991577148438,13482100,7208867514.227295,537.2664794921875,281.28509521484375
2024-08-16,META,531.9000244140625,533.6599731445312,524.6599731445312,524.8377075195312,14776700,7755369352.703857,537.2664794921875,281.28509521484375
2024-08-19,META,526.8699951171875,531.6599731445312,522.760009765625,526.6885375976562,9879700,5203524744.903564,537.2664794921875,281.28509521484375
2024-08-20,META,528.3499755859375,531.0900268554688,525.8800048828125,524.1510009765625,7944400,4164065212.158203,537.2664794921875,283.5195007324219
2024-08-21,META,527.1500244140625,539.4000244140625,526.9299926757812,532.539794921875,13423300,7148441429.174805,537.2664794921875,283.5195007324219
2024-08-22,META,537.0,544.22998046875,528.5900268554688,529.3255615234375,15708300,8314804718.078613,537.2664794921875,283.5195007324219
2024-08-23,META,536.9199829101562,539.8699951171875,525.0599975585938,525.4147338867188,11323900,5949743905.059814,537.2664794921875,283.5195007324219
2024-08-26,META,527.5999755859375,528.0,514.9500122070312,518.5684814453125,9584000,4969960326.171875,537.2664794921875,283.5195007324219
2024-08-27,META,518.97998046875,524.010009765625,515.3099975585938,516.558349609375,6282700,3245381143.0908203,537.2664794921875,286.3497619628906
2024-08-28,META,517.6699829101562,521.0900268554688,512.4500122070312,514.249755859375,9106100,4682809701.831055,537.2664794921875,286.3497619628906
2024-08-29,META,519.0499877929688,527.2000122070312,515.6799926757812,515.6826782226562,8317400,4289139107.849121,537.2664794921875,286.3497619628906
2024-08-30,META,521.3499755859375,523.5399780273438,515.2000122070312,518.7575073242188,9157500,4750521873.321533,537.2664794921875,286.3497619628906
2024-09-03,META,519.6400146484375,525.489990234375,508.6199951171875,509.2543029785156,12459100,6344850286.239624,537.2664794921875,286.3497619628906
2024-09-04,META,506.07000732421875,516.5900268554688,504.07000732421875,510.22955322265625,8335200,4252865372.0214844,537.2664794921875,286.3497619628906
2024-09-05,META,511.7200012207031,521.6300048828125,511.1499938964844,514.329345703125,8640900,4444268443.286133,537.2664794921875,286.3497619628906
2024-09-06,META,521.8800048828125,524.5800170898438,498.25,497.820556640625,14744500,7340115197.387695,537.2664794921875,286.3497619628906
2024-09-09,META,506.1600036621094,511.3299865722656,502.0799865722656,502.3184509277344,11047800,5549513782.159424,537.2664794921875,286.3497619628906
2024-09-10,META,508.1600036621094,514.1799926757812,500.0299987792969,502.3184509277344,9899000,4972450345.733643,537.2664794921875,286.3497619628906
2024-09-11,META,507.010009765625,513.1199951171875,495.6000061035156,509.3240051269531,10782500,5491786085.281372,537.2664794921875,286.3497619628906
2024-09-12,META,517.0499877929688,526.7100219726562,515.219970703125,523.026611328125,11970500,6260890050.90332,537.2664794921875,286.3497619628906
2024-09-13,META,520.3400268554688,527.5800170898438,517.1099853515625,522.0513916015625,10321400,5388301233.276367,537.2664794921875,286.3497619628906
2024-09-16,META,524.5399780273438,534.0999755859375,517.4000244140625,531.1752319335938,9527600,5060825139.770508,537.2664794921875,286.3497619628906
2024-09-17,META,537.5999755859375,542.0999755859375,530.5700073242188,534.2031860351562,11690800,6245262607.299805,537.2664794921875,286.3497619628906
2024-09-18,META,537.0700073242188,544.2000122070312,533.9000244140625,535.8267822265625,10323500,5531607786.315918,537.2664794921875,286.3497619628906
2024-09-19,META,550.0,562.0700073242188,546.52001953125,556.893310546875,15647000,8713709630.126953,556.893310546875,286.3497619628906
2024-09-20,META,560.0,564.5,556.2999877929688,559.1343994140625,22066800,12338306964.990234,559.1343994140625,286.3497619628906
2024-09-23,META,569.5,573.97998046875,562.4099731445312,562.1823120117188,12830700,7213192590.72876,562.1823120117188,286.3497619628906
2024-09-24,META,566.6799926757812,567.75,554.1900024414062,561.1066284179688,12993000,7290458423.034668,562.1823120117188,286.3497619628906
